Reading ADS1x15 values, press Ctrl-C to quit...
And send Data to Firebase Using Raspberry Pi
—————————————-

|      0 |      1 |      2 |      3 |
-------------------------------------
|      4 |    303 |   1646 |    733 |
|      4 |    307 |   1646 |    734 |
|      4 |    267 |   1646 |    746 |
|      4 |    304 |   1646 |    733 |
|      4 |    291 |   1646 |    733 |
|      4 |    267 |   1646 |    746 |
|      4 |    267 |   1646 |    743 |
|      4 |    267 |   1646 |    746 |
|      4 |    305 |   1646 |    735 |
|      4 |    269 |   1646 |    740 |
|      4 |    268 |   1646 |    743 |
|      4 |    266 |   1646 |    746 |
|      4 |    304 |   1646 |    740 |
|      4 |    306 |   1646 |    740 |
|      4 |    271 |   1646 |    734 |
|      4 |    264 |   1646 |    746 |
|      4 |    307 |   1646 |    734 |
|      4 |    307 |   1646 |    734 |
|      4 |    305 |   1646 |    738 |
|      4 |    302 |   1646 |    743 |
|      4 |    302 |   1646 |    743 |
|      4 |    296 |   1646 |    733 |
|      4 |    308 |   1645 |    735 |
|      4 |    285 |   1646 |    733 |
|      4 |    268 |   1646 |    739 |
|      4 |    271 |   1646 |    746 |
|      4 |    265 |   1646 |    746 |
|      4 |    302 |   1646 |    744 |
|      4 |    271 |   1646 |    734 |
|      4 |    272 |   1645 |    746 |
|      4 |    299 |   1646 |    743 |
|      4 |    306 |   1646 |    740 |
|      4 |    283 |   1646 |    733 |
|      4 |    264 |   1646 |    746 |
|      4 |    303 |   1646 |    741 |
|      4 |    307 |   1646 |    738 |
|      4 |    282 |   1646 |    746 |
|      4 |    273 |   1645 |    735 |
|      4 |    305 |   1645 |    733 |
|      4 |    269 |   1646 |    738 |
|      4 |    266 |   1646 |    739 |
|      4 |    294 |   1645 |    746 |
|      4 |    299 |   1646 |    745 |
|      4 |    309 |   1645 |    735 |
|      4 |    263 |   1645 |    746 |
|      4 |    301 |   1645 |    744 |
|      4 |    299 |   1646 |    733 |
|      4 |    264 |   1645 |    745 |
|      4 |    306 |   1645 |    733 |
|      4 |    264 |   1645 |    746 |
|      4 |    272 |   1645 |    736 |
|      4 |    268 |   1645 |    738 |
|      4 |    303 |   1646 |    741 |
|      4 |    290 |   1645 |    733 |
|      4 |    268 |   1645 |    736 |
|      4 |    266 |   1645 |    741 |
|      4 |    266 |   1645 |    746 |
|      4 |    306 |   1645 |    740 |
|      4 |    270 |   1645 |    736 |
|      4 |    289 |   1645 |    746 |
|      4 |    286 |   1646 |    733 |
|      4 |    264 |   1645 |    746 |
|      4 |    306 |   1645 |    739 |
|      4 |    300 |   1645 |    733 |
|      4 |    273 |   1645 |    746 |
|      4 |    292 |   1645 |    733 |
|      4 |    263 |   1646 |    746 |
|      4 |    305 |   1646 |    739 |
|      4 |    305 |   1645 |    733 |
|      4 |    265 |   1645 |    743 |
|      4 |    301 |   1646 |    744 |
|      4 |    307 |   1646 |    735 |
|      4 |    267 |   1645 |    738 |
|      4 |    276 |   1645 |    746 |
|      4 |    306 |   1645 |    734 |
|      4 |    267 |   1645 |    746 |
|      4 |    300 |   1645 |    743 |
|      4 |    305 |   1646 |    737 |
|      4 |    307 |   1645 |    734 |
|      4 |    302 |   1645 |    733 |
|      4 |    270 |   1645 |    737 |
|      4 |    292 |   1645 |    746 |
|      4 |    288 |   1645 |    733 |
|      4 |    263 |   1646 |    745 |
|      4 |    306 |   1645 |    737 |
|      4 |    289 |   1645 |    733 |
|      4 |    272 |   1645 |    746 |
|      4 |    291 |   1645 |    733 |
|      4 |    264 |   1645 |    745 |
|      4 |    300 |   1646 |    744 |
|      4 |    306 |   1645 |    734 |
|      4 |    273 |   1646 |    734 |
|      4 |    271 |   1645 |    735 |
|      4 |    299 |   1645 |    745 |
|      4 |    306 |   1646 |    733 |
|      4 |    262 |   1646 |    746 |
|      4 |    297 |   1645 |    745 |
|      4 |    306 |   1645 |    733 |
|      4 |    269 |   1646 |    738 |
|      4 |    298 |   1645 |    745 |
|      4 |    275 |   1646 |    746 |
|      4 |    263 |   1645 |    745 |
|      4 |    301 |   1646 |    742 |
|      4 |    306 |   1646 |    733 |
|      4 |    280 |   1645 |    733 |
|      4 |    290 |   1645 |    733 |
|      4 |    264 |   1646 |    743 |
|      4 |    265 |   1645 |    745 |
|      4 |    301 |   1645 |    743 |
|      4 |    290 |   1645 |    733 |
|      4 |    267 |   1645 |    746 |
|      4 |    265 |   1645 |    745 |
|      4 |    302 |   1645 |    744 |
|      4 |    288 |   1645 |    733 |
|      4 |    272 |   1645 |    736 |
|      4 |    283 |   1646 |    746 |
|      4 |    304 |   1645 |    739 |
|      4 |    308 |   1645 |    734 |
|      4 |    273 |   1645 |    734 |
|      4 |    274 |   1645 |    733 |
|      4 |    272 |   1645 |    735 |
|      4 |    272 |   1645 |    736 |
|      4 |    270 |   1645 |    746 |
|      4 |    306 |   1645 |    738 |
|      4 |    271 |   1645 |    736 |
|      4 |    304 |   1646 |    734 |
|      4 |    270 |   1646 |    737 |
|      4 |    268 |   1646 |    740 |
|      4 |    281 |   1645 |    746 |
|      4 |    305 |   1645 |    740 |
|      4 |    272 |   1645 |    735 |
|      4 |    266 |   1645 |    744 |
|      4 |    298 |   1646 |    744 |
|      4 |    280 |   1646 |    746 |
|      4 |    304 |   1645 |    733 |
|      4 |    286 |   1645 |    733 |
|      4 |    266 |   1645 |    740 |
|      4 |    271 |   1645 |    746 |
|      4 |    303 |   1645 |    743 |
|      4 |    301 |   1645 |    743 |
|      4 |    301 |   1645 |    733 |
|      4 |    278 |   1645 |    734 |
|      4 |    272 |   1645 |    737 |
|      4 |    262 |   1645 |    745 |
|      4 |    309 |   1645 |    737 |
|      4 |    268 |   1645 |    746 |
|      4 |    266 |   1645 |    746 |
|      4 |    266 |   1645 |    745 |
|      4 |    279 |   1645 |    746 |
|      4 |    297 |   1645 |    744 |
|      4 |    272 |   1645 |    736 |
|      4 |    299 |   1645 |    744 |
|      4 |    304 |   1645 |    742 |
|      4 |    304 |   1645 |    739 |
|      4 |    284 |   1645 |    733 |
|      4 |    303 |   1645 |    743 |
|      4 |    301 |   1645 |    745 |
|      4 |    303 |   1646 |    741 |
|      4 |    299 |   1645 |    745 |
|      4 |    293 |   1645 |    745 |
|      4 |    301 |   1645 |    743 |
|      4 |    297 |   1645 |    745 |
|      4 |    296 |   1645 |    745 |
|      4 |    304 |   1645 |    740 |
|      4 |    302 |   1645 |    743 |
|      4 |    298 |   1646 |    744 |
|      4 |    266 |   1645 |    746 |
|      4 |    300 |   1645 |    742 |
|      4 |    308 |   1645 |    735 |
|      4 |    290 |   1645 |    746 |
|      4 |    291 |   1645 |    746 |
|      4 |    295 |   1645 |    746 |
|      4 |    300 |   1646 |    745 |
|      4 |    286 |   1645 |    746 |
|      4 |    307 |   1645 |    736 |
|      4 |    269 |   1645 |    738 |
|      4 |    287 |   1645 |    746 |
|      4 |    284 |   1645 |    746 |
|      4 |    296 |   1645 |    745 |
|      4 |    273 |   1645 |    746 |
|      4 |    298 |   1645 |    745 |
|      4 |    264 |   1645 |    745 |
|      4 |    305 |   1645 |    739 |
|      4 |    304 |   1645 |    741 |
|      4 |    300 |   1645 |    743 |
|      4 |    299 |   1645 |    744 |
|      4 |    265 |   1645 |    746 |
|      4 |    302 |   1645 |    743 |
|      4 |    297 |   1645 |    744 |
|      4 |    298 |   1645 |    744 |
|      4 |    299 |   1646 |    745 |
|      4 |    298 |   1645 |    745 |
|      4 |    300 |   1646 |    744 |
|      4 |    300 |   1645 |    744 |
|      4 |    300 |   1646 |    744 |
|      4 |    299 |   1645 |    745 |
|      4 |    300 |   1645 |    744 |
|      4 |    279 |   1645 |    746 |
|      4 |    269 |   1645 |    746 |
|      4 |    278 |   1645 |    746 |
|      4 |    272 |   1645 |    734 |
|      4 |    284 |   1645 |    733 |
|      4 |    274 |   1645 |    746 |
|      4 |    281 |   1645 |    746 |
|      4 |    280 |   1645 |    733 |
|      4 |    295 |   1645 |    745 |
|      4 |    290 |   1645 |    745 |
|      4 |    279 |   1645 |    746 |
|      4 |    267 |   1645 |    746 |
|      4 |    303 |   1645 |    742 |
|      4 |    285 |   1645 |    746 |
|      4 |    285 |   1645 |    746 |
|      4 |    306 |   1645 |    739 |
|      4 |    303 |   1645 |    740 |
|      4 |    299 |   1645 |    745 |
|      4 |    264 |   1645 |    746 |
|      4 |    264 |   1645 |    743 |
|      4 |    267 |   1645 |    744 |
|      4 |    271 |   1645 |    736 |
|      4 |    270 |   1645 |    737 |
|      4 |    264 |   1645 |    746 |
|      4 |    299 |   1645 |    733 |
|      4 |    294 |   1645 |    733 |
|      4 |    306 |   1645 |    733 |
|      4 |    307 |   1645 |    733 |
|      4 |    304 |   1645 |    734 |
|      4 |    306 |   1645 |    734 |
|      4 |    270 |   1645 |    737 |
|      4 |    270 |   1645 |    738 |
|      4 |    286 |   1645 |    746 |
|      4 |    304 |   1645 |    733 |
|      4 |    304 |   1645 |    733 |
|      4 |    309 |   1645 |    733 |
|      4 |    297 |   1645 |    745 |
|      4 |    273 |   1645 |    734 |
|      4 |    305 |   1645 |    739 |
|      4 |    307 |   1645 |    734 |
|      4 |    274 |   1645 |    734 |
|      4 |    301 |   1645 |    741 |
|      4 |    272 |   1645 |    734 |
|      4 |    301 |   1645 |    744 |
|      4 |    265 |   1645 |    740 |
|      4 |    303 |   1645 |    733 |
|      4 |    267 |   1645 |    746 |
|      4 |    305 |   1645 |    733 |
|      4 |    265 |   1645 |    745 |
|      4 |    301 |   1645 |    733 |
|      4 |    281 |   1645 |    746 |
|      4 |    274 |   1645 |    734 |
|      4 |    277 |   1645 |    746 |
|      4 |    264 |   1645 |    745 |
|      4 |    282 |   1645 |    733 |
|      4 |    266 |   1645 |    744 |
|      4 |    300 |   1646 |    744 |
|      4 |    301 |   1645 |    733 |
|      4 |    266 |   1645 |    744 |
|      4 |    304 |   1645 |    742 |
|      4 |    266 |   1645 |    743 |
|      4 |    306 |   1645 |    733 |
|      4 |    264 |   1645 |    743 |
|      4 |    305 |   1645 |    739 |
|      4 |    273 |   1645 |    734 |
|      4 |    292 |   1645 |    745 |
|      4 |    270 |   1645 |    746 |
|      4 |    305 |   1645 |    733 |
|      4 |    271 |   1645 |    737 |
|      4 |    283 |   1645 |    746 |
|      4 |    306 |   1645 |    734 |
|      4 |    268 |   1645 |    736 |
|      4 |    297 |   1645 |    745 |
|      4 |    272 |   1645 |    735 |
|      4 |    266 |   1645 |    746 |
|      4 |    295 |   1645 |    746 |
|      4 |    285 |   1645 |    746 |
|      4 |    306 |   1645 |    733 |
|      4 |    266 |   1645 |    738 |
|      4 |    300 |   1645 |    745 |
|      4 |    287 |   1645 |    733 |
|      4 |    288 |   1645 |    746 |
|      4 |    276 |   1645 |    733 |
|      4 |    276 |   1645 |    746 |
|      4 |    303 |   1645 |    733 |
|      4 |    267 |   1645 |    746 |
|      4 |    265 |   1645 |    746 |
|      4 |    297 |   1645 |    733 |
|      4 |    289 |   1645 |    746 |
|      4 |    296 |   1645 |    733 |
|      4 |    305 |   1645 |    733 |
|      4 |    267 |   1645 |    738 |
|      4 |    282 |   1645 |    746 |
|      4 |    304 |   1645 |    733 |
|      4 |    271 |   1645 |    737 |
|      4 |    264 |   1645 |    744 |
|      4 |    280 |   1645 |    746 |
|      4 |    298 |   1645 |    745 |
|      4 |    304 |   1645 |    733 |
|      4 |    269 |   1645 |    736 |
|      4 |    267 |   1645 |    745 |
|      4 |    305 |   1645 |    736 |
|      4 |    270 |   1645 |    736 |
|      4 |    274 |   1645 |    734 |
|      4 |    267 |   1645 |    746 |
|      4 |    308 |   1645 |    737 |
|      4 |    277 |   1645 |    733 |
|      4 |    275 |   1645 |    734 |
|      4 |    301 |   1645 |    742 |
|      4 |    267 |   1645 |    738 |
|      4 |    266 |   1645 |    746 |
|      4 |    297 |   1645 |    745 |
|      4 |    299 |   1645 |    733 |
|      4 |    272 |   1645 |    734 |
|      4 |    265 |   1645 |    745 |
|      4 |    299 |   1645 |    743 |
|      4 |    305 |   1645 |    733 |
|      4 |    268 |   1645 |    740 |
|      4 |    265 |   1645 |    745 |
|      4 |    305 |   1645 |    738 |
|      4 |    274 |   1645 |    734 |
|      4 |    271 |   1645 |    736 |
|      4 |    283 |   1645 |    746 |
|      4 |    307 |   1645 |    738 |
|      4 |    303 |   1645 |    742 |
|      4 |    298 |   1645 |    745 |
|      4 |    307 |   1645 |    738 |
|      4 |    287 |   1645 |    733 |
|      4 |    268 |   1645 |    738 |
|      4 |    275 |   1645 |    746 |
|      4 |    305 |   1645 |    739 |
|      4 |    280 |   1645 |    733 |
|      4 |    266 |   1645 |    740 |
|      4 |    273 |   1645 |    746 |
|      4 |    302 |   1645 |    741 |
|      4 |    302 |   1645 |    733 |
|      4 |    272 |   1645 |    735 |
|      4 |    288 |   1645 |    746 |
|      4 |    305 |   1645 |    733 |
|      4 |    265 |   1645 |    738 |
|      4 |    270 |   1645 |    746 |
|      4 |    300 |   1645 |    743 |
|      4 |    303 |   1645 |    742 |
|      4 |    307 |   1645 |    733 |
|      4 |    267 |   1645 |    746 |
|      4 |    306 |   1645 |    734 |
|      4 |    307 |   1645 |    734 |
|      4 |    283 |   1645 |    733 |
|      4 |    264 |   1645 |    746 |
|      4 |    281 |   1645 |    746 |
|      4 |    303 |   1645 |    743 |
|      4 |    304 |   1645 |    734 |
|      4 |    296 |   1645 |    733 |
|      4 |    306 |   1645 |    741 |
|      4 |    308 |   1645 |    738 |
|      4 |    266 |   1645 |    745 |
|      4 |    297 |   1645 |    745 |
|      4 |    306 |   1645 |    733 |
|      4 |    285 |   1645 |    733 |
|      4 |    294 |   1645 |    745 |
|      4 |    306 |   1645 |    739 |
|      4 |    292 |   1645 |    733 |
|      4 |    264 |   1645 |    745 |
|      4 |    308 |   1645 |    733 |
|      4 |    275 |   1645 |    733 |
|      4 |    298 |   1645 |    745 |
|      4 |    272 |   1645 |    735 |
|      4 |    309 |   1645 |    736 |
|      4 |    267 |   1645 |    743 |
|      4 |    265 |   1645 |    745 |
|      4 |    303 |   1645 |    738 |
|      4 |    267 |   1645 |    746 |
|      4 |    271 |   1645 |    746 |
|      4 |    303 |   1645 |    742 |
|      4 |    306 |   1645 |    740 |
|      4 |    289 |   1645 |    733 |
|      4 |    265 |   1645 |    740 |
|      4 |    271 |   1645 |    746 |
|      4 |    299 |   1645 |    743 |
|      4 |    295 |   1645 |    733 |
|      4 |    268 |   1645 |    737 |
|      4 |    272 |   1645 |    746 |
|      4 |    302 |   1645 |    743 |
|      4 |    301 |   1645 |    744 |
|      4 |    304 |   1645 |    739 |
|      4 |    285 |   1645 |    733 |
|      4 |    307 |   1645 |    739 |
|      4 |    269 |   1645 |    736 |
|      4 |    298 |   1645 |    745 |
|      4 |    270 |   1645 |    746 |
|      4 |    303 |   1645 |    741 |
|      4 |    276 |   1645 |    746 |
|      4 |    267 |   1645 |    743 |
|      4 |    296 |   1645 |    733 |
|      4 |    277 |   1645 |    746 |
|      4 |    299 |   1645 |    733 |
|      4 |    268 |   1645 |    746 |
|      4 |    307 |   1645 |    738 |
|      4 |    290 |   1645 |    733 |
|      4 |    278 |   1645 |    746 |
|      4 |    307 |   1645 |    733 |
|      4 |    305 |   1645 |    740 |
|      4 |    271 |   1645 |    735 |
|      4 |    303 |   1645 |    733 |
|      4 |    264 |   1645 |    746 |
|      4 |    306 |   1645 |    738 |
|      4 |    290 |   1645 |    733 |
|      4 |    273 |   1645 |    735 |
|      4 |    267 |   1645 |    744 |
|      4 |    274 |   1645 |    746 |
|      4 |    301 |   1645 |    741 |
|      4 |    305 |   1645 |    733 |
|      4 |    269 |   1645 |    739 |
|      4 |    283 |   1645 |    745 |
|      4 |    302 |   1645 |    733 |
|      4 |    266 |   1645 |    743 |
|      4 |    302 |   1645 |    733 |
|      4 |    264 |   1645 |    746 |
|      4 |    306 |   1645 |    738 |
|      4 |    270 |   1645 |    737 |
|      4 |    297 |   1645 |    745 |
|      4 |    305 |   1645 |    733 |
|      4 |    271 |   1645 |    735 |
|      4 |    266 |   1645 |    746 |
|      4 |    263 |   1645 |    745 |
|      4 |    285 |   1645 |    745 |
|      4 |    281 |   1645 |    746 |
|      4 |    307 |   1645 |    733 |
|      4 |    273 |   1645 |    735 |
|      4 |    286 |   1645 |    733 |
|      4 |    266 |   1645 |    745 |
|      4 |    305 |   1645 |    733 |
|      4 |    263 |   1645 |    744 |
|      4 |    304 |   1645 |    741 |
|      4 |    272 |   1645 |    733 |
|      4 |    264 |   1645 |    744 |
|      4 |    288 |   1645 |    745 |
|      4 |    307 |   1645 |    733 |
|      4 |    270 |   1645 |    736 |
|      4 |    266 |   1645 |    746 |
|      4 |    304 |   1645 |    733 |
|      4 |    267 |   1645 |    743 |
|      4 |    302 |   1645 |    733 |
|      4 |    273 |   1645 |    746 |
|      4 |    303 |   1645 |    733 |
|      4 |    266 |   1645 |    739 |
|      4 |    300 |   1645 |    743 |
|      4 |    281 |   1645 |    733 |
|      4 |    290 |   1645 |    745 |
|      4 |    305 |   1645 |    733 |
|      4 |    272 |   1645 |    734 |
|      4 |    263 |   1645 |    745 |
|      4 |    299 |   1645 |    744 |
|      4 |    268 |   1645 |    742 |
|      4 |    303 |   1645 |    743 |
